Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,iso_alpha3
Maldives,,Maldives,10.6,72.6,19.1,1047.8,1628.5,0.5,1.0,4.0,4.8,98.8,84.0,MDV
Mali,,Mali,3.8,31.6,35.3,29.8,81.2,32.2,0.1,0.4,1.1,86.7,,XXX
Malta,,Malta,9.3,63.1,34.8,2327.8,3511.1,0.0,3.8,9.0,113.5,100.0,99.9,MLT
,,Marshall Islands,23.3,52.6,9.0,851.3,934.4,35.4,0.5,3.5,15.9,84.0,,XXX
Mauritania,,Mauritania,4.2,36.7,50.9,46.8,163.9,8.2,0.2,1.0,,66.0,,MRT
Mauritius,,Mauritius,5.7,44.1,48.2,553.1,1206.7,0.2,2.0,3.4,17.6,,100.0,MUS
Mexico,,Mexico,5.5,52.1,40.4,461.8,971.8,,2.2,2.9,,95.0,99.0,MEX
,,"Micronesia, Fed. Sts.",12.6,27.8,2.6,386.7,431.6,69.2,0.2,3.3,7.0,,,XXX
Moldova,,Moldova,9.0,48.8,46.3,171.2,480.4,3.7,3.2,4.5,86.1,100.0,90.0,MDA
Monaco,,Monaco,1.7,79.6,7.1,2939.8,3019.1,,6.6,20.3,195.6,100.0,80.0,MCO
Mongolia,,Mongolia,3.8,56.7,35.9,140.7,466.7,3.9,2.9,4.0,45.0,99.0,92.0,MNG
Montenegro,,Montenegro,7.6,75.0,24.1,531.7,1333.9,0.4,2.3,5.7,64.1,99.0,100.0,MNE
Morocco,,Morocco,5.8,46.9,48.6,171.5,465.7,0.7,0.7,1.1,3.7,96.0,24.3,MAR
Mozambique,,Mozambique,5.1,53.3,7.7,19.2,61.6,38.1,0.1,0.4,0.5,55.0,,MOZ
,,Myanmar,5.1,20.1,74.0,62.1,291.1,5.9,0.9,1.0,2.4,81.3,,XXX
Namibia,,Namibia,9.1,61.9,7.7,402.8,969.3,7.0,0.4,2.8,6.1,78.0,,NAM
Nepal,,Nepal,6.3,18.6,55.4,45.5,156.0,11.7,0.7,2.7,3.0,56.2,,NPL
Netherlands,,Netherlands,10.4,81.0,11.5,4742.0,5251.2,0.0,3.5,11.1,49.0,100.0,100.0,NLD
New Zealand,,New Zealand,9.2,78.7,13.6,3745.2,3664.7,0.0,3.0,11.0,43.0,100.0,100.0,NZL
Nicaragua,,Nicaragua,8.7,61.3,32.2,188.2,484.5,4.6,1.0,1.6,15.5,85.0,68.0,NIC
Niger,,Niger,6.2,24.3,58.5,22.7,61.4,13.0,0.1,0.3,0.4,63.9,,NER
Nigeria,,Nigeria,3.6,13.0,75.2,79.3,213.7,9.8,0.4,1.5,1.4,47.0,,NGA
North Macedonia,,North Macedonia,6.3,63.6,35.4,327.8,934.6,0.7,2.9,3.8,61.2,100.0,100.0,MKD
,,Northern Mariana Islands,,,,,,,,,,,,XXX
Norway,,Norway,10.5,85.1,14.5,7477.9,6203.5,0.0,4.6,18.1,67.2,100.0,100.0,NOR
Oman,,Oman,4.3,89.1,5.9,648.3,2826.8,0.0,2.0,4.3,30.5,100.0,87.0,OMN
Pakistan,,Pakistan,2.8,27.9,65.2,39.6,144.1,4.1,1.0,0.5,5.5,42.2,,PAK
,,Palau,11.7,59.8,14.5,1674.1,1891.9,15.4,1.2,5.3,,,,XXX
Panama,,Panama,7.3,65.6,27.4,1040.7,1750.3,0.7,1.6,1.4,26.2,96.0,90.0,PAN
Papua New Guinea,,Papua New Guinea,2.0,70.0,7.9,55.2,92.3,22.1,0.1,0.5,2.3,,,PNG
Paraguay,,Paraguay,8.0,51.6,37.9,327.2,767.8,0.0,1.4,1.2,20.5,69.0,81.0,PRY
Peru,,Peru,5.1,64.1,28.3,316.4,681.0,0.3,1.3,1.4,42.9,98.0,69.0,PER
Philippines,,Philippines,4.4,31.5,53.9,129.4,342.3,2.2,1.3,0.2,9.6,91.8,90.0,PHL
Poland,,Poland,6.5,69.7,22.9,809.0,1784.4,0.2,2.4,5.7,67.9,100.0,100.0,POL
Portugal,,Portugal,9.1,66.4,27.8,1800.9,2778.4,,3.3,6.4,86.1,100.0,100.0,PRT
Qatar,,Qatar,3.1,81.6,8.6,1827.1,3926.1,0.0,0.0,6.6,14.5,100.0,77.0,QAT
Romania,,Romania,5.0,78.2,20.7,476.4,1152.2,0.0,2.3,6.1,60.5,,100.0,ROU
Russia,,Russian Federation,5.3,57.0,40.5,469.1,1329.3,,4.0,8.6,63.1,100.0,100.0,RUS
Rwanda,,Rwanda,6.8,33.9,6.4,48.1,130.4,50.6,0.1,0.8,0.8,56.0,,RWA
,,Samoa,5.5,76.4,11.9,227.1,352.8,10.8,0.3,1.9,1.6,59.0,,XXX
San Marino,,San Marino,6.4,80.4,18.8,3012.8,3832.0,,6.1,8.8,112.9,100.0,,SMR
,,Sao Tome and Principe,6.0,39.9,14.4,105.1,196.9,44.6,0.3,2.3,,95.0,,XXX
Saudi Arabia,,Saudi Arabia,5.7,67.8,14.3,1147.3,3117.2,0.0,2.4,5.7,,,51.0,SAU
Senegal,,Senegal,5.5,34.6,51.8,52.6,141.7,6.2,0.1,0.3,1.1,77.4,,SEN
Serbia,,Serbia,9.1,58.0,40.5,494.4,1322.6,0.1,3.1,6.1,86.7,99.0,90.0,SRB
Seychelles,,Seychelles,3.9,96.0,2.1,596.9,1122.6,1.9,0.9,3.3,48.6,,100.0,SYC
,,Sierra Leone,16.5,11.2,41.6,86.3,244.0,41.0,0.0,1.0,0.1,81.0,,XXX
Singapore,,Singapore,4.5,54.5,31.2,2462.4,4083.8,0.0,2.3,7.2,31.5,,74.0,SGP
Slovakia,,Slovak Republic,7.1,79.8,17.8,1178.7,2172.2,0.0,2.5,9.2,53.9,100.0,100.0,SVK
Slovenia,,Slovenia,8.5,72.3,12.0,1834.2,2772.2,,3.0,9.7,66.7,100.0,100.0,SVN
,,Solomon Islands,5.2,69.2,4.6,106.3,117.8,26.2,0.2,2.1,2.5,88.0,,XXX
Somalia,,Somalia,,,,,,,0.0,0.1,0.2,,,SOM
South Africa,,South Africa,8.1,53.7,7.8,428.2,1071.3,1.9,0.9,3.5,11.4,89.0,91.0,ZAF
,,South Sudan,,,,,,,,,0.3,35.0,,XXX
Spain,,Spain,9.0,71.2,23.8,2389.9,3259.8,,4.1,5.5,79.9,100.0,100.0,ESP
Sri Lanka,,Sri Lanka,3.9,43.1,50.1,153.1,491.5,1.1,1.0,2.1,2.8,,,LKA
Saint Kitts and Nevis,,St. Kitts and Nevis,5.7,43.2,51.5,930.8,1479.6,0.0,2.5,4.0,33.5,,79.0,XXX
Saint Lucia,,St. Lucia,5.3,42.0,48.7,489.8,677.4,3.7,0.1,1.6,23.6,92.0,85.0,LCA
Saint Vincent and the Grenadines,,St. Vincent and the Grenadines,3.6,76.8,20.5,250.2,409.1,0.6,0.7,2.6,23.6,,100.0,VCT
Sudan,,Sudan,5.7,19.5,73.9,152.0,297.9,2.2,0.4,0.8,2.7,67.0,,SDN
Suriname,,Suriname,6.1,69.4,21.8,356.1,907.6,1.4,1.2,4.1,,99.0,100.0,SUR
Sweden,,Sweden,10.9,83.5,15.2,5710.6,5386.7,,5.4,11.5,113.1,100.0,100.0,SWE
Switzerland,,Switzerland,12.2,62.8,29.6,9836.0,7867.4,,4.2,17.3,94.8,100.0,100.0,CHE
